x y
300.6988232599952 1492.306660070455
1291.2147966331386 806.3206144807266
313.98049843467436 1500.6600810793325
1403.7277785941078 981.7273667919821
1091.7536728399987 413.3127260309272
909.4916749492832 898.986984125687
893.1517873426096 896.0159165503306
303.7070763930911 1501.473393478683
1408.2719709146554 1008.5706641751597
191.31100960149067 1108.588979493791
105.714425826725 1287.8430908619332
100.63515493036599 1299.4271377241312
407.6302758177051 600.9684766120212
697.7496563276608 294.43527899504915
217.8780759852915 1112.0571927381318
1407.9111900945163 995.8704886758787
97.94166137307452 1302.9554149050487
1304.7693228346725 808.8460297573491
1402.3189842488796 998.2899732498802
704.2858340710061 297.6133180430179
1416.503244657727 996.8109126883833
394.7084291048441 613.5710848887594
94.82625185604576 1293.117799102909
1299.3185310630436 805.292529528311
390.28195024112154 612.5034359096967
106.07766581666152 1310.7365318475138
1320.4369341480215 797.8948661889228
1393.3722962168986 989.5028930198453
1079.4233035046595 407.9335568657477
392.76781687738384 603.0215005712811
205.0313608889639 1097.7706430308467
203.23500485169325 1092.8907506767428
698.8923003872201 308.41489562679396
394.9251837473241 609.9464114117961
122.56793492296258 1301.552513361577
298.8230158837505 1499.2084995734058
193.39622499522537 1093.0412428319344
206.91995358933016 1110.5182867479625
1393.9223112035004 1013.0100488192968
696.5720348660415 297.45746080154163
1102.2186048212243 397.9560501447463
893.5144221456511 897.6804945058442
1323.5792315161643 794.758199350893
196.27543983087676 1109.405945428401
1087.907681074204 395.32007482231523
394.22084741048707 597.4260509507048
300.95549216164335 1489.0621412600224
1092.8420040420974 390.48939223166457
1404.0280202697713 998.193964904782
306.18717579903256 1511.185573261786
683.2861332672052 291.540632923463
1102.735547325477 387.173316518322
901.9202666290491 915.8370333057736
703.7040266983294 310.89010298860467
286.03617139651635 1477.8225955094188
1110.304947790235 402.41061709138916
105.48874613523822 1307.8457315628827
914.7684446147404 892.0021654952302
891.6850803176566 905.461391624226
299.98964089764894 1498.7677645219408
1101.345440819954 396.78860218066865
706.4262159960209 287.7353793086377
1405.4437747134891 999.350198070428
1390.653030478514 996.4022240796188
715.9572183339521 307.48266853179024
1110.9955007873502 412.39798976733414
196.4460121497829 1100.063905827913
1302.182285573795 801.5964193688662
400.03055782649204 611.669300914911
398.9395819921752 599.9711466388628
81.22286061806163 1292.883319495735
691.3387299524483 300.8370682192569
901.969356195843 896.7392362236329
890.5518368230977 897.7251020355519
1296.161461720201 806.4341663580653
401.20268382309536 600.6559399398583
1315.030515508099 804.8080197386067
296.94110667663074 1490.989174776843
1093.407967279273 388.1182299449515
898.0763784703197 880.6217666217605
1303.7371041617919 787.4198706123486
377.6183450909179 607.6198532333551
1310.7278377827722 807.5285205321543
195.06446227610726 1090.2312701531716
698.8441201329143 298.72254192947065
302.5221626460809 1496.6223779455825
199.36716162386713 1088.5727357124135
98.9733183032411 1312.1447653801047
917.4280305441425 897.4067209608639
101.01052923401964 1304.8226809885118
